,feature,importance
14,human_verified_label,0.7722741356121694
15,model_prediction,0.2021825916368058
10,interaction_entropy,0.002666988530319434
9,conversation_length,0.002177760783739443
7,response_time,0.0019236072863134824
4,trust_manipulation_score,0.0019232950671905214
16,confidence_score,0.0018617230604225181
6,malicious_domain_score,0.0017354205875860426
0,sentiment_score,0.0017079071092308854
11,financial_target,0.001459216739078722
5,cognitive_load_score,0.0014009696939945786
1,urgency_score,0.0013791488295287143
12,trust_signals,0.0013671900910045074
13,cognitive_distortion_score,0.0013248889559468442
3,fear_trigger_score,0.0013149442040532805
17,CMS,0.0012698764025424157
18,CMS_recalc,0.001127226876023757
8,message_frequency,0.0007944206423222539
2,authority_claim,0.00010868789172734366
