,feature,MI
14,human_verified_label,0.7088616053119673
11,financial_target,0.3691160395247757
10,interaction_entropy,0.3478546121722279
17,CMS,0.33701742343877505
18,CMS_recalc,0.3369728551970186
15,model_prediction,0.30561271064616524
5,cognitive_load_score,0.26729940394808005
3,fear_trigger_score,0.2638316376062593
6,malicious_domain_score,0.26039678788297893
1,urgency_score,0.259986347698385
0,sentiment_score,0.25811604160074575
4,trust_manipulation_score,0.25672958140588253
12,trust_signals,0.2563163405437774
13,cognitive_distortion_score,0.2560835677828306
7,response_time,0.20053808271374907
16,confidence_score,0.19101422427153292
9,conversation_length,0.015010413348210516
2,authority_claim,0.00653603737710684
8,message_frequency,0.0031466980404866174
